Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
0.500025763,86.56862405,3747.063335,342.8800558,510.918272,57.05153094,0
0.142230512,22.39749739,250.8239446,263.9887449,451.352284,60.76817833,0
0.121970179,19.37748566,187.7434752,274.9336001,459.7059968,61.02549616,0
1.643292046,279.863572,39161.80947,324.1311652,497.4208804,58.05234274,0
1.563058432,268.3314317,36000.87861,336.662652,507.1804204,57.40123195,0
1.538244174,262.217882,34379.10883,325.9068071,498.8364036,58.18300872,0
1.47352798,252.961006,31994.63528,336.3655951,507.1763344,57.65323699,0
1.258448791,203.1280206,20630.49637,335.1500769,506.5434801,64.22137646,0
1.551450713,265.0506117,35125.91339,328.6417598,501.9675597,57.17449088,0
1.023694425,175.8124425,15455.00746,333.7454436,505.3958414,57.61842958,0
1.073576535,184.6503082,17047.86816,335.4471446,506.5758085,57.07179634,0
0.184420734,31.83895878,506.8596482,335.9252578,507.6564976,58.606241,0
0.116415555,20.21664062,204.3562791,342.9866824,512.4875766,57.5592434,0
0.209927065,36.06719342,650.4212204,330.6651197,501.9255207,57.872202,0
0.675506205,115.8363565,6709.030746,325.0715594,498.3529065,59.40960302,0
0.605221192,104.4685259,5456.83645,338.7069863,508.2364783,57.7792828,0
0.718996977,122.8466134,7545.645207,328.4426815,500.8871961,57.8211977,0
0.260108139,44.70606435,999.316095,332.1438208,504.2953962,57.89962025,0
0.274251366,47.1860363,1113.261011,325.7784681,498.9227067,58.93640855,0
0.260558236,44.67739185,998.0346712,327.4688714,500.1559433,58.32940279,0
0.093088703,13.59098512,92.35743825,239.6563526,425.7908541,67.99269396,0
0.067948046,9.704979456,47.09331312,256.7703042,441.3313274,81.6445822,0
0.059799859,8.951111685,40.0612002,249.37974,434.4868988,65.65031329,0
0.565565377,97.56613234,4759.57509,339.7717294,509.6016658,57.12425012,0
0.652200058,113.2218418,6409.592727,340.0121119,510.1273017,56.63295132,0
0.665879252,114.7242639,6580.828368,337.1007982,506.6726025,57.78864952,0
0.181232414,31.10358321,483.7164443,328.7414521,502.0867735,58.26092976,0
0.222384637,37.75048685,712.5496286,317.8726401,492.8300944,57.56945001,0
0.263848289,45.84835974,1051.036046,342.0365331,509.6342187,59.55963286,0
0.525358888,90.18139008,4066.341558,335.2782646,505.0084533,58.12354583,0
0.597590003,101.9685586,5198.793467,328.6098121,500.2284148,57.59398776,0
1.104511613,180.5962906,16307.51008,282.6576213,466.565207,60.62959517,0
1.158184834,180.298481,16253.77113,296.7071101,478.308504,65.46093859,0
2.837337513,427.1536148,91230.10534,271.225395,456.9905071,58.81932372,0
3.144447982,488.6357638,119382.4548,256.6593179,443.6108502,57.47656217,0
3.185014443,503.317878,126664.4432,256.2541053,443.1215472,58.6944483,0
3.434747395,506.2958479,128167.7428,231.9111813,421.3083902,57.02943652,0
3.366059194,494.3804892,122206.034,229.1644104,418.0872549,58.24179362,0
1.353514206,181.8908523,16542.14107,222.6926715,405.0800945,60.57715598,0
3.680775197,505.8430954,127938.6186,215.3462909,400.7422982,57.7510173,0
0.057131311,10.03389238,50.33949814,364.5937184,526.2745926,55.93497267,0
0.068524134,11.25746818,63.36529489,363.0901218,524.8100792,75.56370147,0
0.067328844,11.7401935,68.9160717,353.29344,517.286313,56.60204744,0
2.166139299,346.9429637,60184.71002,276.6383423,460.873965,56.72159043,0
1.4580678,237.2708273,28148.72274,287.0005123,469.5071197,58.26842637,0
1.846979005,297.9728257,44393.90242,284.1983405,467.3727661,57.39493244,0
1.750859329,294.4747555,43357.69082,319.5484144,492.4398018,56.82935029,0
1.887607236,320.3335215,51306.7825,325.2303677,497.2195043,56.38695005,0
1.699009697,287.9655196,41462.07024,324.4977815,496.8247385,56.8214567,0
1.774972083,267.958303,35900.82606,240.7827717,428.6422553,59.82489299,0
2.07641235,308.8058224,47680.51799,240.1887253,427.4450892,58.96925785,0
1.62310969,245.8394276,30218.51207,241.5305967,429.6836747,60.11593382,0
0.883024252,146.8305871,10779.61065,305.9576832,484.7118834,58.33053964,0
1.336167762,209.5680842,21959.39096,304.4007486,484.0170833,64.4144973,0
0.279000572,48.3284331,1167.818723,341.6460948,511.4876407,57.52018423,0
0.596880243,99.05986788,4906.428713,287.7678737,470.8981327,59.72038882,0
0.11461111,18.11498905,164.0764142,264.8612369,451.2481737,60.71655633,0
0.273454453,43.12155349,929.7341879,281.1168783,464.3285659,63.25796544,0
