Mean,S.D1,Variance,Kurtotis1,Skew1,Entrophy1,Class
0.269741036,112.9246606,6375.989486,292.0170083,1154.717937,165.3344523,0
0.285230956,119.553678,7146.540956,298.8020694,1164.382871,164.2417944,0
5.281680031,1751.542403,1533950.394,188.427619,926.8552189,68.2241782,0
1.479515837,482.9722873,116631.1152,174.4140131,891.2168015,131.4018335,0
1.242762663,511.1315618,130627.7367,285.5857849,1137.763189,141.0900404,0
0.269608612,112.9480173,6378.627303,293.741975,1157.42893,164.9558099,0
0.17273111,71.81986862,2579.046764,292.5011659,1152.018026,170.0146173,0
0.293205979,117.1592138,6863.140686,268.5498039,1100.564621,162.7430192,0
0.447434648,186.6922332,17426.99497,296.8164523,1159.884484,156.7049117,0
0.506143651,216.0986542,23349.31417,318.407328,1196.423664,153.1684577,0
0.468744863,198.1237258,19626.50537,297.896207,1166.512688,155.8924198,0
0.840899484,335.1833069,56173.92461,265.4575512,1095.123867,146.3495164,0
0.901945872,379.2624526,71920.00399,294.270075,1159.431927,146.1796365,0
1.126648023,471.7964296,111295.9355,296.7041302,1152.862982,145.3341517,0
1.469635587,622.0079029,193446.9157,299.2053778,1168.665862,138.6806968,0
1.637124983,684.6744217,234389.5319,296.3133223,1151.752222,139.0450804,0
1.666426259,696.3313846,242438.6986,295.4370466,1150.256202,138.7456905,0
1.693916532,709.6874934,251828.1691,297.5692982,1161.790618,136.3627947,0
1.688354596,712.9450637,254145.332,298.3690763,1166.534046,136.2184028,0
1.867910992,786.8668638,309579.7307,296.8106643,1163.408935,135.7787808,0
2.225056985,937.8116147,439745.3123,296.7761993,1163.561983,132.1377663,0
2.264897913,954.6947265,455721.0104,296.6875154,1163.471925,131.734302,0
2.253178962,951.2671179,452454.5648,296.5803676,1163.988226,132.0323531,0
2.18134673,920.9685184,424091.506,296.4706432,1163.847929,132.8591707,0
2.130410876,899.5503781,404595.4413,296.5537421,1164.000445,133.2298785,0
3.215036915,1264.564301,799561.4361,289.532548,1121.067906,118.0290485,0
4.259491613,1508.199518,1137332.894,277.8252851,1097.37469,101.2520495,0
5.086358613,2043.333255,2087605.395,266.4844474,1103.200849,117.788216,0
5.891423552,2072.508443,2147645.623,269.5167102,1082.816996,95.68514487,0
3.080873261,1232.757195,759845.1503,268.1157992,1103.15094,125.0189924,0
1.6582349,700.3131207,245219.2335,298.0094849,1166.099207,136.4107399,0
1.711534091,723.3496122,261617.3307,298.2497087,1166.704194,136.0989285,0
1.647262127,702.4806936,246739.5624,308.1843699,1183.690878,136.5187437,0
1.719162271,726.7444798,264078.7695,298.3341805,1166.907605,136.0837586,0
2.628959964,999.8989544,499898.9595,275.773619,1093.740193,122.8984114,0
1.724647475,730.9742317,267161.6637,299.2020782,1169.037522,136.1664252,0
1.688175216,714.3318085,255134.9663,297.8583324,1166.556211,136.2286274,0
1.009930258,428.6117706,91854.02496,299.7146966,1170.368821,144.8562058,0
1.104325838,467.628992,109338.4371,299.6276452,1169.432456,142.8869616,0
0.419907991,168.4112007,14181.16626,268.6745485,1101.894978,157.8354168,0
0.513241434,217.8070489,23719.95527,301.3041141,1172.704732,154.4104093,0
0.135373245,54.45592906,1482.724105,265.3459582,1101.826064,176.4840369,0
0.117278574,47.21998919,1114.86369,265.0558272,1101.703373,178.8088921,0
1.632097207,686.2342442,235458.7189,295.5805819,1161.145595,136.9171929,0
1.565346711,658.7383551,216968.1102,296.0573826,1162.145059,137.3321368,0
1.535565025,646.1579679,208760.0598,295.4062827,1161.194426,137.4800945,0
1.484360584,624.7411321,195150.7411,296.0347114,1162.184078,138.4550731,0
1.262427414,525.92999,138301.1772,293.7464481,1146.898644,143.7519307,0
1.550401225,650.1605513,211354.3712,293.3150005,1157.036188,137.2905848,0
1.135905523,483.7240185,116994.463,308.0209142,1182.988309,141.9785529,0
0.461996916,285.5943708,40782.0723,736.9457079,1814.835974,123.9370096,0
0.481805567,299.4114443,44823.6065,752.5503951,1836.740934,123.0704401,0
0.083020519,51.50175155,1326.215206,741.2934896,1820.019461,124.1537915,0
0.056121072,32.52468528,528.9275762,768.0293482,1847.399343,170.8527664,0
0.093404695,58.104312,1688.055536,723.4742507,1799.107562,124.8730125,0
0.302073932,187.8666086,17646.93132,732.556107,1810.821406,127.3144621,0
0.270508312,168.6924725,14228.57514,761.0773086,1843.257106,124.9775948,0
0.322586452,199.2054854,19841.41271,740.8736786,1820.67839,124.5084004,0
0.116868072,72.57867416,2633.831971,740.3087458,1820.056449,124.2921772,0
0.123834722,77.88303353,3032.883456,762.9418686,1849.555819,122.1716445,0
0.116421978,72.41064541,2621.650784,750.1378049,1834.131798,124.8420209,0
