Mean,S.D,Variance,Kurtotis,Skewness,Entrophy,Class
1.688675098,283.3634708,40147.4283,304.1603099,482.4750771,58.65481845,0
1.786407159,300.2316422,45069.51948,314.340098,490.936618,58.07500314,0
2.577623536,425.5002927,90525.24953,311.4202569,487.9698726,57.30230466,0
1.812577312,301.9312394,45581.23666,307.8454734,485.8162101,58.43874804,0
1.862792774,293.7187246,43135.3446,311.3856495,488.8917294,62.7547266,0
1.004680995,172.9618947,14957.90851,339.4567588,508.9287145,57.43715527,0
1.108548121,190.3076146,18108.49409,332.6971461,504.8682306,57.21063376,0
0.390661564,68.37542372,2337.599285,359.9414454,523.2720504,57.31903327,0
0.500292371,86.58455153,3748.442282,334.3097114,504.5234631,58.35167362,0
0.355198735,61.57568257,1895.782342,332.6343503,503.9608271,59.45150695,0
0.122106304,19.35930798,187.3914027,268.8902078,455.5349238,60.15151964,0
1.643332107,279.310099,39007.06571,322.42955,496.2051464,58.004841,0
1.566894077,266.831113,35599.42143,317.4034506,492.5381634,58.70417233,0
1.534395009,263.2393234,34647.47069,334.0025337,505.5497842,57.38844941,0
1.480983378,252.9561952,31993.41834,319.9786365,494.4433906,58.3301376,0
1.197608574,203.8641599,20780.29785,316.661546,492.1509145,58.75834931,0
1.556220259,263.3554052,34678.03472,311.6584124,488.4720813,58.78557768,0
1.117152769,191.2456157,18287.44276,323.0077098,496.3971903,57.83685392,0
2915.238849,412289.37,1.70E+11,145.5452765,227.576438,16.95095882,1
2189.539135,317779.7806,1.01E+11,136.3424309,222.4996348,17.03512057,1
1689.748765,241419.6824,58283463050,160.3387959,235.920771,17.922814,1
2392.371543,344467.6108,1.19E+11,145.7296122,227.3417408,17.71022078,1
2844.995497,405343.2978,1.64E+11,141.341809,224.3523346,17.50725045,1
3877.374539,460296.9694,2.12E+11,93.53511871,183.5992597,9.693892809,1
4020.400514,488298.4203,2.38E+11,93.21094491,184.8540367,10.43629917,1
4024.491665,597831.3256,3.57E+11,161.0299642,240.2531341,17.5999939,1
5570.346122,813151.8722,6.61E+11,152.4927646,232.3577277,17.72511891,1
4288.130053,638582.1496,4.08E+11,154.3513697,235.379874,18.4647441,1
1403.464279,198640.5342,39458061831,147.2270182,227.4884528,18.5594081,1
1345.598314,192148.7127,36921127775,149.9776653,229.2541411,18.95476234,1
1699.368491,244710.4907,59883224261,153.7817931,233.2047352,18.04836553,1
1768.835327,256471.1003,65777425299,154.2026489,233.0032541,18.51461497,1
